review_id,product,review,sentiment_label,sentiment_score
0f9a6ae2-ca9b-4b1c-ac0d-fcd83c81dd7a,boAt Airdopes 161,Great for workouts. Stays in ear and sounds fantastic.,positive,0.92
f302482a-fdd8-4bf9-98d4-7b1acdfc441b,boAt Airdopes 161,Great for workouts. Stays in ear and sounds fantastic.,positive,0.83
96cfd313-48f8-4875-9ce6-747c95d09f06,boAt Airdopes 161,Not bad. Could use improvement in mic quality.,neutral,-0.02
e1d95d4c-78fe-487b-9744-a07640093497,boAt Airdopes 161,"Decent product. Works as expected, nothing special.",neutral,0
56ac9d38-1d90-4483-aa8a-c1dbef1cf326,boAt Airdopes 161,Disappointed with the product. Stopped working in a month.,negative,-0.74
5592cbaf-3d31-4e79-8c89-487106e2357d,boAt Airdopes 161,Satisfactory performance overall.,neutral,0.03
3286298b-8dfa-43dd-9ae9-e73935c3dae1,boAt Airdopes 161,Mic doesn’t work properly. Bad for calls.,negative,-0.69
f8ce735c-06c4-4e7d-87a4-da13296704a6,boAt Airdopes 161,Worth every rupee. Great value for money.,positive,0.79
07b83ec4-60f2-4764-93fb-adff06a50ab7,boAt Airdopes 161,Exceeded my expectations. Great job boAt!,positive,0.87
eeb39ac7-abaf-4ba8-bad0-1230ec9d8736,boAt Airdopes 161,Very comfortable and the bass is amazing. Highly recommend!,positive,0.63
10bef25c-d441-4650-8a46-c919ea641fa1,boAt Airdopes 161,Excellent fit and sound. The charging case is sleek too.,positive,0.76
ac8bddc3-54bb-426b-bd9d-6b68965169f9,boAt Airdopes 161,Excellent fit and sound. The charging case is sleek too.,positive,0.93
4fa1d016-3468-425e-85e4-e9f979fe22a2,boAt Airdopes 161,Excellent fit and sound. The charging case is sleek too.,positive,0.63
220483fe-3957-440f-8b95-57877e36211a,boAt Airdopes 161,Good design but the performance is average.,neutral,-0.04
5ebcffec-b27b-4fd0-ba1a-c0b33f348db6,boAt Airdopes 161,Excellent fit and sound. The charging case is sleek too.,positive,0.63
a83445be-fbd8-42f8-899d-d545331adc1f,boAt Airdopes 161,Excellent fit and sound. The charging case is sleek too.,positive,0.8
8ea0d084-7c1b-4ac1-b448-eabb38715e6a,boAt Airdopes 161,Satisfactory performance overall.,neutral,0.01
3fb78298-4c61-472a-95d3-687253818434,boAt Airdopes 161,Great for workouts. Stays in ear and sounds fantastic.,positive,0.68
03adef53-a318-46f9-8d1a-8b0a44a6213d,boAt Airdopes 161,Connection keeps dropping. Very frustrating.,negative,-0.54
37d383a0-1e0a-4b73-9ead-df89a3b85990,boAt Airdopes 161,Only one earbud works. Waste of money.,negative,-0.71
9b366615-270c-4038-a5f6-b65970ae437b,boAt Airdopes 161,"Superb earbuds. Easy to connect and use, no issues at all.",positive,0.67
a16ddf2c-64b8-48c6-856e-679b481ee138,boAt Airdopes 161,Sound cuts in and out frequently. Not reliable.,negative,-0.9
bff7ec24-adc9-44b6-b33f-b4204435ea04,boAt Airdopes 161,Exceeded my expectations. Great job boAt!,positive,0.99
e0fd9eec-b9b9-4961-ab79-64e394772ffd,boAt Airdopes 161,Great for workouts. Stays in ear and sounds fantastic.,positive,0.75
363c6384-53bb-4769-a727-9b2f6be91cbe,boAt Airdopes 161,Great for workouts. Stays in ear and sounds fantastic.,positive,0.65
a1604837-5925-4c77-a9f4-481f4cf0c4f3,boAt Airdopes 161,"Expected better, but still usable.",neutral,0.01
e5b450ed-5fd0-4834-8038-fd4fed2bc8c4,boAt Airdopes 161,Excellent fit and sound. The charging case is sleek too.,positive,0.77
eb3add6e-4d3a-4dbe-bd88-f1ed04718b18,boAt Airdopes 161,"Decent product. Works as expected, nothing special.",neutral,-0.02
37fcefde-aec2-49ec-aa1e-d63b426d120e,boAt Airdopes 161,"Decent product. Works as expected, nothing special.",neutral,-0.05
ba01ae74-64c1-4703-bfbd-6d583fd7ac47,boAt Airdopes 161,No complaints. I’m impressed with the performance.,positive,0.92
318dd653-1c1a-446b-8de4-954c3d19381f,boAt Airdopes 161,Very comfortable and the bass is amazing. Highly recommend!,positive,0.98
12cf5a36-10bb-4fe7-b0d3-3042430b42a5,boAt Airdopes 161,Great for workouts. Stays in ear and sounds fantastic.,positive,0.63
a6443e39-2440-4890-bc3b-bae2e086820f,boAt Airdopes 161,Bass is too heavy and distorts the music.,negative,-0.77
f8badb86-9891-4dd6-b19e-3153045f820d,boAt Airdopes 161,Bass is too heavy and distorts the music.,negative,-0.98
591dbe7e-0714-46c1-b8ef-165ac688ca38,boAt Airdopes 161,"Average earbuds, gets the job done.",neutral,-0.04
79a10e44-1132-47d0-b0f3-8f10f1d8bb88,boAt Airdopes 161,Amazing quality at this price point!,positive,0.78
d91e00c4-6626-4080-8782-0da6790c310b,boAt Airdopes 161,Crystal clear sound and really good mic during calls.,positive,0.83
b54b5c4a-c6c1-455f-857c-fc2ab79254f7,boAt Airdopes 161,"Okay for the price, but not amazing.",neutral,-0.05
7a5ffdc8-9201-4896-863c-0ec1fafec7c4,boAt Airdopes 161,Good design but the performance is average.,neutral,0.02
c2484716-175b-4ec9-b306-73b7e4c931ac,boAt Airdopes 161,Worth every rupee. Great value for money.,positive,0.89
7999f469-71b2-4138-9731-fd017bc663ea,boAt Airdopes 161,Neither good nor bad. It's just fine for casual use.,neutral,0.01
646e6caa-eb74-46da-91b3-a116e67f3128,boAt Airdopes 161,Connection keeps dropping. Very frustrating.,negative,-0.74
e1acbbe5-0127-4a43-bc24-af919a89bac5,boAt Airdopes 161,Not bad. Could use improvement in mic quality.,neutral,0.01
74e30b6c-17d6-4df6-9c36-ce90857e3926,boAt Airdopes 161,Excellent fit and sound. The charging case is sleek too.,positive,0.93
041b7174-fadd-42d7-9e40-e15f7bd71b93,boAt Airdopes 161,Terrible sound quality. I regret buying this.,negative,-0.55
bfa4d671-c32e-4fcf-86b1-8d0efa37579c,boAt Airdopes 161,Great for workouts. Stays in ear and sounds fantastic.,positive,0.76
408a0384-37c9-4040-9826-3818d467e8e9,boAt Airdopes 161,"Okay for the price, but not amazing.",neutral,0.02
9c8d6231-7dec-41bd-97b8-aa4845746dfb,boAt Airdopes 161,"Superb earbuds. Easy to connect and use, no issues at all.",positive,0.8
eecb2a67-3fa8-4b3a-a113-618176e3b5a8,boAt Airdopes 161,Exceeded my expectations. Great job boAt!,positive,0.92
3097c09d-ea27-48b9-a416-f74c2780d741,boAt Airdopes 161,"Okay for the price, but not amazing.",neutral,-0.02
c79a38f3-0ea5-4991-8f88-eb60262257c4,boAt Airdopes 161,Great for workouts. Stays in ear and sounds fantastic.,positive,0.65
c71812bd-764f-4d26-84bc-4066b4f4e98e,boAt Airdopes 161,Exceeded my expectations. Great job boAt!,positive,0.86
800e708f-0d8d-41d5-bf36-047ece983be4,boAt Airdopes 161,Crystal clear sound and really good mic during calls.,positive,0.65
b02f0a54-7692-40ca-9ddb-bfe16e0883c3,boAt Airdopes 161,Sound cuts in and out frequently. Not reliable.,negative,-0.9
60be2fae-766f-44a0-96dc-13c31420e407,boAt Airdopes 161,"Superb earbuds. Easy to connect and use, no issues at all.",positive,0.89
7e378138-18e1-4633-bcf4-c6f9b498f72c,boAt Airdopes 161,Disappointed with the product. Stopped working in a month.,negative,-0.64
0f45fffc-1033-4fee-85ea-21f5e3e9e0e2,boAt Airdopes 161,"Superb earbuds. Easy to connect and use, no issues at all.",positive,0.75
69298d45-c415-424b-8751-2810aabf020c,boAt Airdopes 161,Battery dies too quickly. Not recommended.,negative,-0.76
6eff004e-5ac0-43b5-93c0-879f64da8706,boAt Airdopes 161,"Decent product. Works as expected, nothing special.",neutral,0.04
baa736f8-5dbe-4846-ac48-8745bee45732,boAt Airdopes 161,"Superb earbuds. Easy to connect and use, no issues at all.",positive,0.74
b761daa2-2efc-452d-914c-409cf6c17800,boAt Airdopes 161,Battery dies too quickly. Not recommended.,negative,-0.58
0c59b7b6-b7f8-4d9b-90f2-b737a14c9c94,boAt Airdopes 161,"Superb earbuds. Easy to connect and use, no issues at all.",positive,0.66
5673647e-caea-4faa-82dc-6ac522652198,boAt Airdopes 161,Mic doesn’t work properly. Bad for calls.,negative,-0.81
adec8b81-8f90-4da8-9128-cfe8f80f9ca7,boAt Airdopes 161,Worth every rupee. Great value for money.,positive,0.91
84b6d3e8-0e3c-44fa-94ca-aff2d8059d06,boAt Airdopes 161,"Superb earbuds. Easy to connect and use, no issues at all.",positive,0.63
b3337255-9321-403a-af35-851598ad400a,boAt Airdopes 161,"Okay for the price, but not amazing.",neutral,0
89ba5ac7-1c0e-46a4-91ac-4d3d9a4b772c,boAt Airdopes 161,Disappointed with the product. Stopped working in a month.,negative,-0.46
977813ef-ad8b-4d75-ac54-c2a33f986078,boAt Airdopes 161,Absolutely love these! Great sound quality and battery life.,positive,0.77
f08688b0-2cc9-4d83-ab0e-6eb933f702f7,boAt Airdopes 161,Very comfortable and the bass is amazing. Highly recommend!,positive,0.98
8f72f6b5-327f-49ad-ac51-df07b27eee41,boAt Airdopes 161,Exceeded my expectations. Great job boAt!,positive,0.76
5b36cf68-c947-4160-82fb-250e8081ceef,boAt Airdopes 161,Doesn’t fit well and hurts the ear after some time.,negative,-0.7
85c7ff94-824e-4896-a3bc-6d346fdb3beb,boAt Airdopes 161,Bass is too heavy and distorts the music.,negative,-0.46
371698c4-976a-45bc-93e3-b78e91251597,boAt Airdopes 161,Very comfortable and the bass is amazing. Highly recommend!,positive,0.93
